URL,TotalIssues,Critical Issues,Serious Issues,Moderate Issues,Minor Issues,WCAG A Issues,WCAG AA Issues,WCAG AAA Issues,Accessibility Score,Missing ARIA Labels,Contrast Ratio Issues,Keyboard Navigation Issues
https://neomwellbeing.com/,0,0,0,0,0,0,0,0,100.00,0,0,0
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,17,17,0,0,0,0,17,0,0.00,4,0,0
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,19,19,0,0,0,0,19,0,0.00,5,0,0
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,18,18,0,0,0,0,18,0,0.00,4,0,0
https://neomwellbeing.com/products/feel-refreshed-luxury-scented-candle,19,19,0,0,0,0,19,0,0.00,5,0,0
https://neomwellbeing.com/products/real-luxury-standard-scented-candle,19,19,0,0,0,0,19,0,0.00,5,0,0
https://neomwellbeing.com/products/feel-refreshed-standard-scented-candle,18,18,0,0,0,0,18,0,0.00,4,0,0
https://neomwellbeing.com/products/happiness-standard-scented-candle,19,19,0,0,0,0,19,0,0.00,5,0,0
https://neomwellbeing.com/products/happiness-travel-scented-candle,18,18,0,0,0,0,18,0,0.00,4,0,0
https://neomwellbeing.com/products/perfect-nights-sleep-travel-scented-candle,18,18,0,0,0,0,18,0,0.00,4,0,0
