URL,TotalIssues,Critical Issues,Serious Issues,Moderate Issues,Minor Issues,WCAG A Issues,WCAG AA Issues,WCAG AAA Issues,Accessibility Score,Missing ARIA Labels,Contrast Ratio Issues,Keyboard Navigation Issues
https://dotfusion.com/,7,7,0,0,0,0,7,0,30.00,0,0,0
https://dotfusion.com/services,8,8,0,0,0,0,8,0,20.00,0,0,0
https://dotfusion.com/services/headless-cms-agency,15,15,0,0,0,0,15,0,0.00,0,0,0
https://dotfusion.com/services/contentful-development-agency,8,8,0,0,0,0,8,0,20.00,0,0,0
https://dotfusion.com/services/storyblok-development-agency,7,7,0,0,0,0,7,0,30.00,0,0,0
https://dotfusion.com/services/agility-cms-development-agency,7,7,0,0,0,0,7,0,30.00,0,0,0
https://dotfusion.com/services/answer-engine-optimization-agency-dotfusion,15,15,0,0,0,0,15,0,0.00,0,0,0
https://dotfusion.com/industries,7,7,0,0,0,0,7,0,30.00,0,0,0
https://dotfusion.com/about,7,7,0,0,0,0,7,0,30.00,0,0,0
https://dotfusion.com/contact-us,8,8,0,0,0,0,8,0,20.00,0,0,0
