Page URL,Image URL,File Size (KB),Dimensions,Format,Alt Text,Alt Text Quality Score,Decorative,Is Responsive,Loading Attribute,JS Lazy Pattern,Double Lazy,Compression Level,Optimization Score,Recommendations
https://dotfusion.com/,/logo.svg,0,?x?,svg,Dotfusion Logo,70.00,No,No,none,No,No,High,75.00,"Add width and height attributes; Add loading attribute (lazy for below-fold, eager for above-fold)"
https://dotfusion.com/,https://cdn-ca.aglty.io/dotfusion2025/site-2025/dotfusion-logo.svg,0,?x?,svg,dotfusion site logo,95.00,No,No,none,No,No,High,75.00,"Add width and height attributes; Add loading attribute (lazy for below-fold, eager for above-fold)"
https://dotfusion.com/,https://cdn-ca.aglty.io/dotfusion2025/client-logos/trusted-by/moneris-logo.svg,0,?x?,svg,moneris logo,60.00,No,No,none,No,No,High,75.00,"Add width and height attributes; Add loading attribute (lazy for below-fold, eager for above-fold)"
https://dotfusion.com/,https://cdn-ca.aglty.io/dotfusion2025/client-logos/trusted-by/oxford-logo.svg,0,?x?,svg,oxford logo,55.00,No,No,none,No,No,High,75.00,"Add width and height attributes; Add loading attribute (lazy for below-fold, eager for above-fold)"
https://dotfusion.com/,https://cdn-ca.aglty.io/dotfusion2025/client-logos/trusted-by/cirque-du-soleil-logo.svg,0,?x?,svg,cirque du soleil logo,100.00,No,No,none,No,No,High,75.00,"Add width and height attributes; Add loading attribute (lazy for below-fold, eager for above-fold)"
https://dotfusion.com/,https://cdn-ca.aglty.io/dotfusion2025/client-logos/trusted-by/mitsubishi-logo.svg,0,?x?,svg,mitsubishi logo,75.00,No,No,none,No,No,High,75.00,"Add width and height attributes; Add loading attribute (lazy for below-fold, eager for above-fold)"
https://dotfusion.com/,https://cdn-ca.aglty.io/dotfusion2025/client-logos/trusted-by/intuit-logo.svg,0,?x?,svg,intuit logo,55.00,No,No,none,No,No,High,75.00,"Add width and height attributes; Add loading attribute (lazy for below-fold, eager for above-fold)"
https://dotfusion.com/,https://cdn-ca.aglty.io/dotfusion2025/client-logos/trusted-by/pizzanova-logo.svg,0,?x?,svg,pizza nova logo,75.00,No,No,none,No,No,High,75.00,"Add width and height attributes; Add loading attribute (lazy for below-fold, eager for above-fold)"
https://dotfusion.com/,https://cdn-ca.aglty.io/dotfusion2025/client-logos/trusted-by/brookfields-logo.svg,0,?x?,svg,brookfields properties logo,100.00,No,No,none,No,No,High,75.00,"Add width and height attributes; Add loading attribute (lazy for below-fold, eager for above-fold)"
https://dotfusion.com/,https://cdn-ca.aglty.io/dotfusion2025/client-logos/trusted-by/sunwing.svg,0,?x?,svg,sunwing logo,60.00,No,No,none,No,No,High,75.00,"Add width and height attributes; Add loading attribute (lazy for below-fold, eager for above-fold)"
