url,type,isNav,seo,a11y,accessibilityIssues,backend,served,rendered,loadTimeMs,msc,sdq,schemaTypes,hasOffer
https://neomwellbeing.com/,nav,true,83,100,0,100,0,-16,3637,51,69,Organization; PostalAddress,n/a
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,content,false,78,100,0,100,0,0,9273,52,83,Organization; PostalAddress; Product; Brand; Offer; BreadcrumbList; ListItem,Yes
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,content,false,77,100,0,100,0,0,6079,50,83,Organization; PostalAddress; Product; Brand; Offer; BreadcrumbList; ListItem,Yes
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,content,false,86,100,0,100,0,0,4898,52,83,Organization; PostalAddress; Product; Brand; Offer; BreadcrumbList; ListItem,Yes
https://neomwellbeing.com/products/feel-refreshed-luxury-scented-candle,content,false,86,100,0,100,0,0,4378,50,83,Organization; PostalAddress; Product; Brand; Offer; BreadcrumbList; ListItem,Yes
https://neomwellbeing.com/products/real-luxury-standard-scented-candle,content,false,90,100,0,100,0,0,4040,52,83,Organization; PostalAddress; Product; Brand; Offer; BreadcrumbList; ListItem,Yes
https://neomwellbeing.com/products/feel-refreshed-standard-scented-candle,content,false,86,100,0,100,0,0,4873,52,83,Organization; PostalAddress; Product; Brand; Offer; BreadcrumbList; ListItem,Yes
https://neomwellbeing.com/products/happiness-standard-scented-candle,content,false,86,100,0,100,0,0,3840,52,83,Organization; PostalAddress; Product; Brand; Offer; BreadcrumbList; ListItem,Yes
https://neomwellbeing.com/products/happiness-travel-scented-candle,content,false,86,100,0,100,0,0,3596,52,83,Organization; PostalAddress; Product; Brand; Offer; BreadcrumbList; ListItem,Yes
https://neomwellbeing.com/products/perfect-nights-sleep-travel-scented-candle,content,false,76,100,0,100,0,0,6283,52,83,Organization; PostalAddress; Product; Brand; Offer; BreadcrumbList; ListItem,Yes
https://neomwellbeing.com/products/complete-bliss-travel-scented-candle,content,false,81,100,0,100,0,0,5832,52,83,Organization; PostalAddress; Product; Brand; Offer; BreadcrumbList; ListItem,Yes
https://neomwellbeing.com/products/real-luxury-travel-scented-candle,content,false,76,100,0,100,0,0,6628,52,83,Organization; PostalAddress; Product; Brand; Offer; BreadcrumbList; ListItem,Yes
https://neomwellbeing.com/products/happiness-luxury-scented-candle,content,false,87,100,0,100,0,0,3715,50,83,Organization; PostalAddress; Product; Brand; Offer; BreadcrumbList; ListItem,Yes
https://neomwellbeing.com/products/perfect-nights-sleep-bath-foam,content,false,77,100,0,100,0,0,5561,50,83,Organization; PostalAddress; Product; Brand; Offer; BreadcrumbList; ListItem,Yes
https://neomwellbeing.com/products/real-luxury-bath-foam,content,false,85,100,0,100,0,0,4183,50,83,Organization; PostalAddress; Product; Brand; Offer; BreadcrumbList; ListItem,Yes
https://neomwellbeing.com/products/real-luxury-scented-candle,content,false,78,100,0,100,0,0,7191,50,83,Organization; PostalAddress; Product; Brand; Offer; BreadcrumbList; ListItem,Yes
https://neomwellbeing.com/products/complete-bliss-luxury-scented-candle,content,false,92,100,0,100,0,0,3469,50,83,Organization; PostalAddress; Product; Brand; Offer; BreadcrumbList; ListItem,Yes
https://neomwellbeing.com/products/perfect-nights-sleep-mist,content,false,78,100,0,100,0,0,7311,50,83,Organization; PostalAddress; Product; Brand; Offer; BreadcrumbList; ListItem,Yes
https://neomwellbeing.com/products/perfect-nights-sleep-cleansing-balm,content,false,86,100,0,100,0,0,3340,52,83,Organization; PostalAddress; Product; Brand; Offer; BreadcrumbList; ListItem,Yes
https://neomwellbeing.com/products/supercharged-real-luxury-body-oil,content,false,90,100,0,100,0,0,3893,52,83,Organization; PostalAddress; Product; Brand; Offer; BreadcrumbList; ListItem,Yes
