URL,TotalIssues,Critical Issues,Serious Issues,Moderate Issues,Minor Issues,WCAG A Issues,WCAG AA Issues,WCAG AAA Issues,Accessibility Score,Missing ARIA Labels,Contrast Ratio Issues,Keyboard Navigation Issues
https://neomwellbeing.com/,0,0,0,0,0,0,0,0,100.00,0,0,0
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,0,0,0,0,0,0,0,0,100.00,0,0,0
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,0,0,0,0,0,0,0,0,100.00,0,0,0
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,0,0,0,0,0,0,0,0,100.00,0,0,0
https://neomwellbeing.com/products/feel-refreshed-luxury-scented-candle,0,0,0,0,0,0,0,0,100.00,0,0,0
https://neomwellbeing.com/products/real-luxury-standard-scented-candle,0,0,0,0,0,0,0,0,100.00,0,0,0
https://neomwellbeing.com/products/feel-refreshed-standard-scented-candle,0,0,0,0,0,0,0,0,100.00,0,0,0
https://neomwellbeing.com/products/happiness-standard-scented-candle,0,0,0,0,0,0,0,0,100.00,0,0,0
https://neomwellbeing.com/products/happiness-travel-scented-candle,0,0,0,0,0,0,0,0,100.00,0,0,0
https://neomwellbeing.com/products/perfect-nights-sleep-travel-scented-candle,0,0,0,0,0,0,0,0,100.00,0,0,0
https://neomwellbeing.com/products/complete-bliss-travel-scented-candle,0,0,0,0,0,0,0,0,100.00,0,0,0
https://neomwellbeing.com/products/real-luxury-travel-scented-candle,0,0,0,0,0,0,0,0,100.00,0,0,0
https://neomwellbeing.com/products/happiness-luxury-scented-candle,0,0,0,0,0,0,0,0,100.00,0,0,0
https://neomwellbeing.com/products/perfect-nights-sleep-bath-foam,0,0,0,0,0,0,0,0,100.00,0,0,0
https://neomwellbeing.com/products/real-luxury-bath-foam,0,0,0,0,0,0,0,0,100.00,0,0,0
https://neomwellbeing.com/products/real-luxury-scented-candle,0,0,0,0,0,0,0,0,100.00,0,0,0
https://neomwellbeing.com/products/complete-bliss-luxury-scented-candle,0,0,0,0,0,0,0,0,100.00,0,0,0
https://neomwellbeing.com/products/perfect-nights-sleep-mist,0,0,0,0,0,0,0,0,100.00,0,0,0
https://neomwellbeing.com/products/perfect-nights-sleep-cleansing-balm,0,0,0,0,0,0,0,0,100.00,0,0,0
https://neomwellbeing.com/products/supercharged-real-luxury-body-oil,0,0,0,0,0,0,0,0,100.00,0,0,0
